"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2FC"
"C8A",1298.30462165846,9.65495089352994,0.634692235817675,15.2120198557202,2.94320123862572e-52,1.47459545566093e-49,9.65495089352994
"CPB2",748.607907800386,9.48530063135787,0.62667405922718,15.1359394755469,9.38310970867896e-52,4.55424273599246e-49,9.48530063135787
"APOF",606.920293835885,9.56857987953944,0.632183697115515,15.1357586777361,9.40893344854524e-52,4.55424273599246e-49,9.56857987953944
"SLC22A1",449.515769661574,8.06511552881842,0.533132805944826,15.1277794930014,1.06219391217858e-51,5.05568895733265e-49,8.06511552881842
"SLC22A7",459.667129359665,9.28818472542884,0.620618472721145,14.9660139581475,1.22443390759109e-50,5.46365367702913e-48,9.28818472542884
"LOC105370035",1041.403771188,9.49243804451909,0.635286525233036,14.9419791975551,1.75678868578262e-50,7.71851865978155e-48,9.49243804451909
"HGFAC",272.696075999792,8.37222222809192,0.562028211819394,14.8964447905372,3.47588889390126e-50,1.50400659139443e-47,8.37222222809192
"INHBC",303.016616033576,9.23635567930212,0.62310486141669,14.8231160615604,1.03852866506881e-49,4.36151494368164e-47,9.23635567930212
"TTR",2916.10360989636,8.08356314725922,0.5484946867293,14.7377237060616,3.69014416816992e-49,1.48176751374414e-46,8.08356314725922
"HAMP",681.564624698568,9.2026958907878,0.624466495652962,14.7368929395726,3.73580996531892e-49,1.48176751374414e-46,9.2026958907878
"SERPIND1",1056.69765769155,9.12492409576318,0.621213819266012,14.6888620516276,7.59790298282012e-49,2.97234127922434e-46,9.12492409576318
"SLCO1B1",473.478898003816,9.03212012208093,0.616266464964663,14.6561927925104,1.22977857572291e-48,4.74594818452632e-46,9.03212012208093
"CPS1",4151.98272980869,8.48615553342247,0.581525103009791,14.5929307084093,3.11522257133561e-48,1.1861936825627e-45,8.48615553342247
"AADAC",653.732150094057,8.32635667046985,0.571948805666388,14.5578705436209,5.20541720638554e-48,1.95600400763103e-45,8.32635667046985
"F9",693.562040660757,9.58681488930786,0.662390214735497,14.4730623672272,1.79307753404171e-47,6.65022184638482e-45,9.58681488930786
"CFHR3",991.756223428014,9.40933419778069,0.65282442642849,14.4132691989756,4.27009982430709e-47,1.56340398439182e-44,9.40933419778069
"BHMT",1261.97155184417,8.68822830122586,0.604234211088469,14.3789082805736,7.01930607148978e-47,2.53743471885576e-44,8.68822830122586
"CYP2A6",1367.98403560205,9.71200632548238,0.67778102108387,14.3291210927557,1.4393058354467e-46,5.13796200608587e-44,9.71200632548238
"SLC13A5",557.659159060596,9.27417282510049,0.655195798674941,14.1548111936256,1.74405530200715e-45,5.8596154487906e-43,9.27417282510049
"CD5L",255.910107728745,8.58581318678253,0.61151489352851,14.0402356142815,8.84181824481535e-45,2.93610052831903e-42,8.58581318678253
"CPN2",382.855240685155,8.97073657728334,0.645180154339852,13.9042351457047,5.97016427655359e-44,1.89439946010908e-41,8.97073657728334
"HAO1",561.00356725927,9.26619710823022,0.668836537200017,13.8542029223191,1.19981320314358e-43,3.72437667993201e-41,9.26619710823022
"SLC38A3",595.723704647917,8.16043750566374,0.589287199152169,13.8479802673543,1.30839491797845e-43,4.01775721157297e-41,8.16043750566374
"SERPINA7",438.060812361104,8.62161251279482,0.623721438325253,13.8228574216474,1.85555448737562e-43,5.63733245217799e-41,8.62161251279482
"HABP2",680.323264676206,8.48207853738813,0.618546971423759,13.7129093330847,8.49807601193232e-43,2.55461110261856e-40,8.48207853738813
"HAO2",234.511126083435,8.45838139074868,0.623062556437883,13.5754930277084,5.59658445780036e-42,1.64770370047281e-39,8.45838139074868
"MBL2",219.060135256827,10.1001266881554,0.749209824450498,13.4810387671615,2.02239302553161e-41,5.60733009933319e-39,10.1001266881554
"DPYS",443.868279724177,8.83607863571052,0.659950954958545,13.388992877911,7.01251759884012e-41,1.92561036141996e-38,8.83607863571052
"AFM",469.084421545239,9.82791845343103,0.735100305862144,13.369493081498,9.11599820218333e-41,2.47937787293287e-38,9.82791845343103
"SPP2",285.392351406663,9.4063967868524,0.705175737284077,13.3390817203671,1.37138379710616e-40,3.69471495073186e-38,9.4063967868524
"SERPINA4",455.26476450469,9.58702306147652,0.73451105574161,13.0522515441198,6.16966969591169e-39,1.60175842887133e-36,9.58702306147652
